dataset,IR,method,output_stability,structural_beta_std,structural_beta0_std,structural_total,hyp_C_geom_std,hyp_C_mode,hyp_C_mode_frequency,accuracy_mean,accuracy_std,accuracy_worst,auc_mean,auc_std,auc_worst,fit_time_mean_s,fit_time_std_s,fit_time_total_s,hyp_k_geom_std,hyp_k_mode,hyp_k_mode_frequency
glass2,11.59,balanced,0.0001896715245466,0.1550291803056935,0.1627296915825721,0.3177588718882657,53.86686198961183,100.0,0.3,0.9090909090909088,3.347448369359225e-16,0.9090909090909092,0.9375,0.0410561330449673,0.7999999999999999,0.948099075871287,0.0476392689492807,94.80990758712868,1.049374266046504,0.7,0.78
polish_bankruptcy_5year,13.41,standard,0.0017219976339571,2.065252114658864,0.4333093690569338,2.4985614837157977,13.726473225396656,100.0,0.91,0.9309475465313026,0.0026963044023706,0.922165820642978,0.8396425720620841,0.0143312829851746,0.7900665188470066,1.13436470999266,0.2175602556434493,113.43647099926602,,,
polish_bankruptcy_5year,13.41,stable,0.0002812177743183,0.0249132212753484,0.0709757756333088,0.0958889969086572,52.20749141469444,0.001,0.38,0.9307614213197968,0.0006215816012179,0.9289340101522844,0.832240798226164,0.012834860032799,0.7989356984478935,29.96154099210864,3.32579786958313,2996.154099210864,1.028370569163074,0.7,0.89
polish_bankruptcy_5year,13.41,balanced,2.146467684338656e-05,0.0056239707773103,0.0060953696636653,0.0117193404409756,47.38188736768563,0.001,0.27,0.9306260575296108,0.000240497141969,0.9289340101522844,0.8243263858093125,0.0137663482955663,0.7889135254988914,61.08524985287688,6.286365596007992,6108.524985287688,1.0406819174705546,0.7,0.78
shuttle_c0_vs_c4,13.87,standard,6.226571733824759e-06,0.0057636956564095,0.0103013984854553,0.0160650941418649,1.0000000000000009,0.001,1.0,0.9344262295081966,1.1158161231197418e-16,0.9344262295081968,1.0,0.0,1.0,0.0435794233088381,0.0092033341364161,4.357942330883816,,,
shuttle_c0_vs_c4,13.87,stable,4.075455777437627e-10,7.920599754780972e-06,0.0002301318821539,0.0002380524819087,1.0000000000000009,0.001,1.0,0.9344262295081966,1.1158161231197418e-16,0.9344262295081968,1.0,0.0,1.0,2.2740625549398827,0.2898075055880199,227.40625549398828,1.0000000000000002,0.7,1.0
shuttle_c0_vs_c4,13.87,balanced,3.5217842945744376e-10,6.009769211026781e-06,0.000298477080245,0.000304486849456,1.0000000000000009,0.001,1.0,0.9344262295081966,1.1158161231197418e-16,0.9344262295081968,1.0,0.0,1.0,4.272003364136908,0.4751626880688334,427.2003364136908,1.0000000000000002,0.7,1.0
glass4,15.46,standard,0.0017674194307995,0.9543454994809784,1.829101099220418,2.7834465987013965,82.51663283523547,0.001,0.41,0.9540909090909092,0.0045454545454545,0.9090909090909092,0.5042857142857143,0.378303380105388,0.0476190476190476,0.0146611492545343,0.0011477905579654,1.4661149254534394,,,
glass4,15.46,stable,0.0013297250856708,0.2655410139162296,0.7412482851203627,1.0067892990365923,198.3989216503888,0.001,0.5,0.9545454545454548,2.2316322462394835e-16,0.9545454545454546,0.62,0.329913051005221,0.0476190476190476,0.4104798791743815,0.0227744993460124,41.04798791743815,1.0359939152942637,0.7,0.98
glass4,15.46,balanced,0.0008926015450883,0.2628174066211797,0.6248063907829822,0.8876237974041619,210.5078691948109,100.0,0.41,0.9545454545454548,2.2316322462394835e-16,0.9545454545454546,0.1957142857142857,0.1795692819137832,0.0,0.9114838091447018,0.0387469163457159,91.14838091447018,1.0749496442619375,0.7,0.75
